Classifier type,<0>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,<123>,mean
DecisionTreeClassifier 1,0.8705882352941177,0.8736167734420501,0.8748558246828143,0.9103369503141062,0.9106334841628959,0.8571428571428571,0.8196448390677026,0.8807036833424958,0.8801742919389978,0.8834322719913653,0.8711229946524064,0.8950715421303657,0.8629201680672269,0.8969286829776159,0.8978328173374613,0.8961636828644501,0.9006085192697769,0.901458019105078,0.8913260219341974,0.9065743944636678,0.9034313725490196,0.9052017501215363,0.9069431051108968,0.9067431850789096,0.9060721062618596,0.9138823529411765,0.8571428571428571,0.9069013432144511,0.9048713235294118,0.88828089375285,0.9167420814479638,0.8902370459784703
DecisionTreeClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DecisionTreeClassifier 3,0.7164705882352941,0.7140361094933023,0.7202998846597463,0.7692747001713307,0.7415158371040724,0.7103641456582633,0.6825749167591565,0.7306212204507971,0.7489106753812637,0.7388019427954668,0.7470588235294118,0.7551669316375199,0.7232142857142857,0.7433628318584071,0.7461300309597523,0.7534526854219948,0.7505070993914807,0.7526395173453997,0.7612163509471586,0.7681660899653979,0.775,0.7812348079727759,0.7849566055930569,0.7541846006695361,0.7727703984819735,0.7821176470588236,0.7338935574229691,0.7818434460398332,0.7867647058823529,0.7633378932968536,0.7674208144796381,0.7502357788508811
RandomForestClassifier 1,0.5452941176470588,0.5160163075131042,0.532871972318339,0.5351227869788692,0.5084841628959276,0.5086834733893557,0.5321864594894562,0.5404068169323805,0.5315904139433552,0.5310307609282245,0.4893048128342246,0.5076841547429782,0.5,0.5137948984903696,0.5092879256965944,0.49820971867007674,0.5035496957403651,0.5027652086475616,0.49401794616151545,0.5061789421651013,0.5142156862745098,0.5089936801166748,0.5057859209257474,0.5007173601147776,0.5123339658444023,0.5181176470588236,0.5200746965452848,0.5252431681333951,0.5298713235294118,0.5243958048335613,0.5276018099547511,0.5159300528553612
RandomForestClassifier 2,0.5464705882352942,0.5235876528829354,0.5363321799307958,0.5214163335237008,0.5147058823529411,0.5176470588235295,0.5271920088790233,0.5393073117097307,0.5294117647058824,0.5348084187803562,0.4834224598930481,0.5066242713301536,0.509453781512605,0.5205622071837585,0.5113519091847265,0.49820971867007674,0.5081135902636917,0.5027652086475616,0.4915254237288136,0.5056846267918932,0.5127450980392156,0.5065629557608167,0.5072324011571842,0.5031085604973696,0.5132827324478179,0.5190588235294118,0.5172735760971056,0.5099583140342752,0.5229779411764706,0.5221158230734154,0.5194570135746607,0.5155601818199439
RandomForestClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9989769820971867,1.0,1.0,1.0,0.9995056846267919,0.9995098039215686,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995440036479708,1.0,0.9999205314288232
GradientBoostingClassifier 1,0.9505882352941176,0.9464181712288876,0.9429065743944637,0.9371787549971445,0.9468325791855203,0.9378151260504202,0.9428412874583796,0.9472237493128093,0.940631808278867,0.9271451699946034,0.9342245989304813,0.9337572866984631,0.9212184873949579,0.9255596043727226,0.9256965944272446,0.9253196930946291,0.9254563894523327,0.9270990447461036,0.9202392821535393,0.925852694018784,0.9279411764705883,0.9236752552260573,0.9189971070395371,0.9287422285987565,0.9278937381404174,0.9294117647058824,0.9304388422035481,0.9268179712830014,0.9181985294117647,0.925672594619243,0.920814479638009,0.9310518973813314
GradientBoostingClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBRFClassifier 1,0.49117647058823527,0.46534653465346537,0.486159169550173,0.5117075956596231,0.49321266968325794,0.47619047619047616,0.4667036625971143,0.48598130841121495,0.4923747276688453,0.4808418780356179,0.474331550802139,0.4350821409644939,0.47006302521008403,0.46330036439354505,0.4716202270381837,0.4716112531969309,0.46906693711967545,0.4710910005027652,0.48454636091724823,0.4784972812654474,0.4745098039215686,0.47107438016528924,0.470106075216972,0.4763271162123386,0.480550284629981,0.48376470588235293,0.4850606909430439,0.49421028253821214,0.49494485294117646,0.4943000455996352,0.5,0.47947589911287436
XGBRFClassifier 2,0.8476470588235294,0.8532323820617356,0.8523644752018454,0.8440890919474586,0.8501131221719457,0.8543417366946778,0.8485016648168702,0.8471687740516768,0.8420479302832244,0.8300053966540745,0.83475935828877,0.816640169581346,0.8230042016806722,0.803748047891723,0.7946336429308566,0.8046035805626598,0.8073022312373225,0.7973856209150327,0.7627118644067796,0.7617399901136925,0.7588235294117647,0.7822070977151191,0.7849566055930569,0.7345767575322812,0.7599620493358634,0.7482352941176471,0.7572362278244631,0.7415470125057897,0.7302389705882353,0.7460100319197447,0.7416289592760181,0.7987568669721251
XGBClassifier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SGradientBoostingClassifier 1,0.9111764705882353,0.9196272568433314,0.9215686274509803,0.9211878926327812,0.9202488687782805,0.9215686274509803,0.9200887902330743,0.9285321605277626,0.9221132897603486,0.9217485159201295,0.9080213903743316,0.9067302596714362,0.9012605042016807,0.91827173347215,0.9174406604747162,0.9207161125319693,0.9158215010141988,0.9180492709904474,0.9202392821535393,0.9110232328225408,0.9117647058823529,0.9037433155080213,0.9011571841851495,0.8976566236250598,0.9037001897533207,0.908235294117647,0.9033613445378151,0.9031959240389069,0.8910845588235294,0.9042407660738714,0.8986425339366516,0.912006996399201
SXGBClassifier 1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SXGBClassifier 2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SXGBClassifier 3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
