Classifier type,Accuracy
DecisionTreeClassifier 1,0.25
DecisionTreeClassifier 2,0.25
DecisionTreeClassifier 3,0.28125
RandomForestClassifier 4,0.0625
RandomForestClassifier 5,0.0625
GradientBoostingClassifier 1,0.125
GradientBoostingClassifier 2,0.15625
