Classifier type,Accuracy
DecisionTreeClassifier 1,0.59375
DecisionTreeClassifier 2,0.59375
DecisionTreeClassifier 3,0.5625
RandomForestClassifier 4,0.703125
RandomForestClassifier 5,0.703125
GradientBoostingClassifier 1,0.6171875
GradientBoostingClassifier 2,0.5
