Classifier type,Accuracy
DecisionTreeClassifier 1,0.390625
DecisionTreeClassifier 2,0.404296875
DecisionTreeClassifier 3,0.42578125
RandomForestClassifier 4,0.484375
RandomForestClassifier 5,0.484375
GradientBoostingClassifier 1,0.35546875
GradientBoostingClassifier 2,0.318359375
Classifier type,Accuracy
GradientBoostingClassifier 1,0.3984375
GradientBoostingClassifier 2,0.36328125
GradientBoostingClassifier 3,0.37109375
GradientBoostingClassifier 4,0.39453125
