Classifier type,"<(0, 500)>","<(250, 750)>","<(500, 1000)>","<(750, 1250)>","<(1000, 1500)>","<(1250, 1750)>","<(1500, 2000)>","<(1750, 2250)>","<(2000, 2500)>","<(2250, 2750)>","<(2500, 3000)>","<(2750, 3250)>","<(3000, 3500)>","<(3250, 3750)>","<(3500, 4000)>",mean
DecisionTreeClassifier 1,0.5757575757575758,0.3696969696969697,0.23030303030303031,0.296969696969697,0.4,0.6727272727272727,0.45454545454545453,0.3212121212121212,0.38181818181818183,0.4666666666666667,0.5636363636363636,0.4,0.4484848484848485,0.5151515151515151,0.3090909090909091,0.4270707070707071
DecisionTreeClassifier 2,0.47878787878787876,0.5878787878787879,0.5575757575757576,0.8181818181818182,0.5575757575757576,0.6848484848484848,0.2606060606060606,0.38181818181818183,0.40606060606060607,0.38181818181818183,0.703030303030303,0.28484848484848485,0.46060606060606063,0.2909090909090909,0.503030303030303,0.49050505050505055
DecisionTreeClassifier 3,0.5878787878787879,0.32727272727272727,0.6060606060606061,0.703030303030303,0.2727272727272727,0.7454545454545455,0.22424242424242424,0.3575757575757576,0.3878787878787879,0.5272727272727272,0.6242424242424243,0.6848484848484848,0.42424242424242425,0.4121212121212121,0.44242424242424244,0.4884848484848484
RandomForestClassifier 4,0.8,0.8606060606060606,0.703030303030303,0.9030303030303031,0.7454545454545455,0.7757575757575758,0.3333333333333333,0.4303030303030303,0.509090909090909,0.45454545454545453,0.6545454545454545,0.28484848484848485,0.6666666666666666,0.6848484848484848,0.503030303030303,0.6206060606060606
RandomForestClassifier 5,0.8121212121212121,0.8606060606060606,0.7454545454545455,0.8848484848484849,0.8303030303030303,0.7757575757575758,0.503030303030303,0.509090909090909,0.6242424242424243,0.503030303030303,0.806060606060606,0.593939393939394,0.6666666666666666,0.7333333333333333,0.503030303030303,0.69010101010101
GradientBoostingClassifier 1,0.7393939393939394,0.7575757575757576,0.4909090909090909,0.696969696969697,0.19393939393939394,0.7454545454545455,0.24848484848484848,0.3212121212121212,0.36363636363636365,0.38181818181818183,0.6242424242424243,0.37575757575757573,0.6303030303030303,0.46060606060606063,0.38181818181818183,0.49414141414141416
GradientBoostingClassifier 2,0.6121212121212121,0.7272727272727273,0.43636363636363634,0.44242424242424244,0.18787878787878787,0.5878787878787879,0.26666666666666666,0.3575757575757576,0.3878787878787879,0.38181818181818183,0.6242424242424243,0.28484848484848485,0.593939393939394,0.3878787878787879,0.3939393939393939,0.44484848484848477
