Classifier type,Accuracy
DecisionTreeClassifier 1,0.546875
DecisionTreeClassifier 2,0.484375
DecisionTreeClassifier 3,0.390625
RandomForestClassifier 4,0.53125
RandomForestClassifier 5,0.53125
GradientBoostingClassifier 1,0.4296875
GradientBoostingClassifier 2,0.4921875
GradientBoostingClassifier 1,0.578125
GradientBoostingClassifier 2,0.5390625
GradientBoostingClassifier 3,0.5
GradientBoostingClassifier 4,0.5703125
