Classifier type,Accuracy
DecisionTreeClassifier 1,0.75
DecisionTreeClassifier 2,0.90625
DecisionTreeClassifier 3,1.0
RandomForestClassifier 4,0.90625
RandomForestClassifier 5,0.90625
GradientBoostingClassifier 1,0.90625
GradientBoostingClassifier 2,0.78125
