Classifier type;Accuracy
DecisionTreeClassifier 1;0.458984375
DecisionTreeClassifier 2;0.4609375
DecisionTreeClassifier 3;0.400390625
RandomForestClassifier 4;0.4765625
RandomForestClassifier 5;0.4765625
GradientBoostingClassifier 1;0.35546875
GradientBoostingClassifier 2;0.326171875
GradientBoostingClassifier 1;0.3359375
GradientBoostingClassifier 2;0.392578125
GradientBoostingClassifier 3;0.37890625
GradientBoostingClassifier 4;0.388671875
