Classifier type,"<(0, 500)>","<(250, 750)>","<(500, 1000)>","<(750, 1250)>","<(1000, 1500)>","<(1250, 1750)>","<(1500, 2000)>","<(1750, 2250)>","<(2000, 2500)>","<(2250, 2750)>","<(2500, 3000)>","<(2750, 3250)>","<(3000, 3500)>","<(3250, 3750)>","<(3500, 4000)>",mean
DecisionTreeClassifier 1,0.5454545454545454,0.8242424242424242,0.6121212121212121,0.8363636363636363,0.6181818181818182,0.7757575757575758,0.46060606060606063,0.38181818181818183,0.42424242424242425,0.34545454545454546,0.6606060606060606,0.2909090909090909,0.509090909090909,0.5272727272727272,0.503030303030303,0.5543434343434342
DecisionTreeClassifier 2,0.5333333333333333,0.806060606060606,0.6606060606060606,0.7818181818181819,0.6121212121212121,0.7757575757575758,0.44242424242424244,0.3393939393939394,0.46060606060606063,0.37575757575757573,0.5393939393939394,0.2727272727272727,0.5393939393939394,0.4121212121212121,0.503030303030303,0.536969696969697
DecisionTreeClassifier 3,0.5272727272727272,0.8181818181818182,0.6484848484848484,0.696969696969697,0.6303030303030303,0.7757575757575758,0.4727272727272727,0.32727272727272727,0.4121212121212121,0.38181818181818183,0.5212121212121212,0.296969696969697,0.5393939393939394,0.5636363636363636,0.503030303030303,0.541010101010101
RandomForestClassifier 4,0.6606060606060606,0.8606060606060606,0.6848484848484848,0.8848484848484849,0.7757575757575758,0.7757575757575758,0.4727272727272727,0.3878787878787879,0.49696969696969695,0.3575757575757576,0.6363636363636364,0.28484848484848485,0.6666666666666666,0.7333333333333333,0.503030303030303,0.6121212121212122
RandomForestClassifier 5,0.6606060606060606,0.8606060606060606,0.7454545454545455,0.8848484848484849,0.7878787878787878,0.7757575757575758,0.45454545454545453,0.3939393939393939,0.503030303030303,0.37575757575757573,0.6363636363636364,0.28484848484848485,0.6666666666666666,0.7333333333333333,0.503030303030303,0.6177777777777778
GradientBoostingClassifier 1,0.49696969696969695,0.8242424242424242,0.6545454545454545,0.8606060606060606,0.6666666666666666,0.7757575757575758,0.45454545454545453,0.3696969696969697,0.43636363636363634,0.3696969696969697,0.5878787878787879,0.2909090909090909,0.593939393939394,0.593939393939394,0.503030303030303,0.5652525252525252
GradientBoostingClassifier 2,0.5212121212121212,0.8242424242424242,0.6545454545454545,0.8242424242424242,0.6484848484848484,0.7757575757575758,0.4666666666666667,0.3333333333333333,0.41818181818181815,0.36363636363636365,0.593939393939394,0.28484848484848485,0.5454545454545454,0.5696969696969697,0.503030303030303,0.5551515151515151
