Classifier type,"<(0, 500)>","<(250, 750)>","<(500, 1000)>","<(750, 1250)>","<(1000, 1500)>","<(1250, 1750)>","<(1500, 2000)>","<(1750, 2250)>","<(2000, 2500)>","<(2250, 2750)>","<(2500, 3000)>","<(2750, 3250)>","<(3000, 3500)>","<(3250, 3750)>","<(3500, 4000)>",mean
DecisionTreeClassifier 1,0.6848484848484848,0.34545454545454546,0.26666666666666666,0.4,0.34545454545454546,0.5212121212121212,0.3393939393939394,0.32727272727272727,0.5636363636363636,0.30303030303030304,0.36363636363636365,0.3696969696969697,0.3151515151515151,0.3575757575757576,0.3151515151515151,0.3878787878787879
DecisionTreeClassifier 2,0.503030303030303,0.42424242424242425,0.17575757575757575,0.7272727272727273,0.5212121212121212,0.5454545454545454,0.12121212121212122,0.503030303030303,0.3939393939393939,0.509090909090909,0.4303030303030303,0.5151515151515151,0.3333333333333333,0.15757575757575756,0.3090909090909091,0.4113131313131312
DecisionTreeClassifier 3,0.4909090909090909,0.696969696969697,0.5272727272727272,0.6242424242424243,0.21212121212121213,0.509090909090909,0.3575757575757576,0.3515151515151515,0.4,0.3090909090909091,0.4909090909090909,0.3515151515151515,0.43636363636363634,0.3333333333333333,0.20606060606060606,0.4197979797979798
RandomForestClassifier 4,0.7333333333333333,0.7575757575757576,0.5575757575757576,0.7575757575757576,0.4666666666666667,0.5818181818181818,0.38181818181818183,0.32727272727272727,0.4,0.34545454545454546,0.6484848484848484,0.5575757575757576,0.40606060606060607,0.12727272727272726,0.20606060606060606,0.48363636363636364
RandomForestClassifier 5,0.7333333333333333,0.793939393939394,0.5575757575757576,0.7757575757575758,0.5333333333333333,0.5818181818181818,0.3515151515151515,0.2,0.3878787878787879,0.3151515151515151,0.6606060606060606,0.5575757575757576,0.42424242424242425,0.11515151515151516,0.2606060606060606,0.4832323232323232
GradientBoostingClassifier 1,0.6666666666666666,0.43636363636363634,0.19393939393939394,0.26666666666666666,0.49696969696969695,0.36363636363636365,0.4666666666666667,0.4,0.4303030303030303,0.3575757575757576,0.3212121212121212,0.38181818181818183,0.42424242424242425,0.23030303030303031,0.43636363636363634,0.39151515151515154
GradientBoostingClassifier 2,0.5454545454545454,0.3333333333333333,0.19393939393939394,0.2606060606060606,0.5151515151515151,0.21212121212121213,0.5515151515151515,0.43636363636363634,0.41818181818181815,0.38181818181818183,0.36363636363636365,0.41818181818181815,0.3878787878787879,0.24848484848484848,0.47878787878787876,0.3830303030303029
