Classifier type,Accuracy
DecisionTreeClassifier 1,0.296875
DecisionTreeClassifier 2,0.4140625
DecisionTreeClassifier 3,0.359375
RandomForestClassifier 4,0.421875
RandomForestClassifier 5,0.421875
GradientBoostingClassifier 1,0.3984375
GradientBoostingClassifier 2,0.4140625
GradientBoostingClassifier 1,0.4921875
GradientBoostingClassifier 2,0.46875
GradientBoostingClassifier 3,0.4765625
GradientBoostingClassifier 4,0.421875
XGBClassifier,0.4609375
XGBRFClassifier,0.4609375
