Classifier type,Accuracy
DecisionTreeClassifier 1,0.53125
DecisionTreeClassifier 2,0.5625
DecisionTreeClassifier 3,0.28125
RandomForestClassifier 4,0.5625
RandomForestClassifier 5,0.5625
GradientBoostingClassifier 1,0.40625
GradientBoostingClassifier 2,0.375
