Classifier type,Accuracy
DecisionTreeClassifier 1,0.3359375
DecisionTreeClassifier 2,0.296875
DecisionTreeClassifier 3,0.28125
RandomForestClassifier 4,0.4921875
RandomForestClassifier 5,0.4609375
GradientBoostingClassifier 1,0.390625
GradientBoostingClassifier 2,0.359375
GradientBoostingClassifier 1,0.359375
GradientBoostingClassifier 2,0.234375
GradientBoostingClassifier 3,0.296875
GradientBoostingClassifier 4,0.2890625
XGBClassifier,0.3359375
XGBRFClassifier,0.3671875
