Classifier type,Accuracy
DecisionTreeClassifier 1,0.65625
DecisionTreeClassifier 2,0.5
DecisionTreeClassifier 3,0.421875
RandomForestClassifier 4,0.609375
RandomForestClassifier 5,0.609375
GradientBoostingClassifier 1,0.390625
GradientBoostingClassifier 2,0.328125
