Classifier type,"<(0, 500)>","<(250, 750)>","<(500, 1000)>","<(750, 1250)>","<(1000, 1500)>","<(1250, 1750)>","<(1500, 2000)>","<(1750, 2250)>","<(2000, 2500)>","<(2250, 2750)>","<(2500, 3000)>","<(2750, 3250)>","<(3000, 3500)>","<(3250, 3750)>","<(3500, 4000)>",mean
DecisionTreeClassifier 1,0.6121212121212121,0.3151515151515151,0.28484848484848485,0.41818181818181815,0.3575757575757576,0.49696969696969695,0.3393939393939394,0.4,0.6,0.2909090909090909,0.42424242424242425,0.44242424242424244,0.3090909090909091,0.3212121212121212,0.3090909090909091,0.3947474747474748
DecisionTreeClassifier 2,0.36363636363636365,0.5515151515151515,0.5393939393939394,0.6060606060606061,0.41818181818181815,0.5454545454545454,0.5333333333333333,0.36363636363636365,0.5333333333333333,0.4,0.509090909090909,0.593939393939394,0.28484848484848485,0.20606060606060606,0.37575757575757573,0.45494949494949494
DecisionTreeClassifier 3,0.48484848484848486,0.5333333333333333,0.4909090909090909,0.6424242424242425,0.21212121212121213,0.509090909090909,0.3393939393939394,0.3212121212121212,0.43636363636363634,0.34545454545454546,0.4484848484848485,0.42424242424242425,0.4,0.3393939393939394,0.21818181818181817,0.4096969696969696
RandomForestClassifier 4,0.7333333333333333,0.7636363636363637,0.5575757575757576,0.7515151515151515,0.46060606060606063,0.5818181818181818,0.3696969696969697,0.2727272727272727,0.3939393939393939,0.2787878787878788,0.6606060606060606,0.5575757575757576,0.40606060606060607,0.12121212121212122,0.21818181818181817,0.47515151515151516
RandomForestClassifier 5,0.7333333333333333,0.7575757575757576,0.5575757575757576,0.7757575757575758,0.5212121212121212,0.5818181818181818,0.3575757575757576,0.1696969696969697,0.36363636363636365,0.30303030303030304,0.6606060606060606,0.5575757575757576,0.44242424242424244,0.1696969696969697,0.2606060606060606,0.4808080808080808
GradientBoostingClassifier 1,0.6606060606060606,0.44242424242424244,0.19393939393939394,0.26666666666666666,0.5333333333333333,0.4,0.4,0.40606060606060607,0.41818181818181815,0.296969696969697,0.36363636363636365,0.5515151515151515,0.42424242424242425,0.2,0.4303030303030303,0.39919191919191915
GradientBoostingClassifier 2,0.5333333333333333,0.3575757575757576,0.19393939393939394,0.2606060606060606,0.503030303030303,0.2,0.503030303030303,0.4303030303030303,0.40606060606060607,0.3333333333333333,0.4303030303030303,0.4666666666666667,0.42424242424242425,0.26666666666666666,0.47878787878787876,0.3858585858585858
