Classifier type,Accuracy
DecisionTreeClassifier 1,0.515625
DecisionTreeClassifier 2,0.6796875
DecisionTreeClassifier 3,0.6328125
RandomForestClassifier 4,0.703125
RandomForestClassifier 5,0.703125
GradientBoostingClassifier 1,0.5859375
GradientBoostingClassifier 2,0.4765625
