Classifier type,"<(0, 200)>","<(100, 300)>","<(200, 400)>","<(300, 500)>","<(400, 600)>","<(500, 700)>","<(600, 800)>","<(700, 900)>","<(800, 1000)>","<(900, 1100)>","<(1000, 1200)>","<(1100, 1300)>","<(1200, 1400)>","<(1300, 1500)>","<(1400, 1600)>","<(1500, 1700)>","<(1600, 1800)>","<(1700, 1900)>","<(1800, 2000)>","<(1900, 2100)>","<(2000, 2200)>","<(2100, 2300)>","<(2200, 2400)>","<(2300, 2500)>","<(2400, 2600)>","<(2500, 2700)>","<(2600, 2800)>","<(2700, 2900)>","<(2800, 3000)>","<(2900, 3100)>","<(3000, 3200)>","<(3100, 3300)>","<(3200, 3400)>","<(3300, 3500)>","<(3400, 3600)>","<(3500, 3700)>","<(3600, 3800)>","<(3700, 3900)>","<(3800, 4000)>","<(3900, 4100)>",mean
DecisionTreeClassifier 1,0.4090909090909091,0.48484848484848486,0.5151515151515151,0.3787878787878788,0.8787878787878788,0.7272727272727273,0.8181818181818182,0.8333333333333334,0.24242424242424243,0.7575757575757576,0.7272727272727273,0.6363636363636364,0.3181818181818182,0.42424242424242425,0.3939393939393939,0.6818181818181818,0.6818181818181818,0.5909090909090909,0.36363636363636365,0.2878787878787879,0.30303030303030304,0.45454545454545453,0.48484848484848486,0.5454545454545454,0.8333333333333334,0.22727272727272727,0.22727272727272727,0.30303030303030304,0.6818181818181818,0.6515151515151515,0.18181818181818182,0.5303030303030303,0.3787878787878788,0.3484848484848485,0.2878787878787879,0.5303030303030303,0.5303030303030303,0.4393939393939394,0.5151515151515151,0.48484848484848486,0.5022727272727273
DecisionTreeClassifier 2,0.5,0.42424242424242425,0.48484848484848486,0.7878787878787878,0.9242424242424242,0.5909090909090909,0.9090909090909091,0.8939393939393939,0.24242424242424243,0.6515151515151515,0.7575757575757576,0.9848484848484849,0.3333333333333333,0.7878787878787878,0.6212121212121212,0.3787878787878788,0.5757575757575758,0.09090909090909091,0.2727272727272727,0.3333333333333333,0.21212121212121213,0.24242424242424243,0.5606060606060606,0.3484848484848485,0.8787878787878788,0.21212121212121213,0.5909090909090909,0.6363636363636364,0.7272727272727273,0.6363636363636364,0.25757575757575757,0.3939393939393939,0.45454545454545453,0.5909090909090909,0.4393939393939394,0.6212121212121212,0.5757575757575758,0.4393939393939394,0.5757575757575758,0.3484848484848485,0.5321969696969695
DecisionTreeClassifier 3,0.3484848484848485,0.7272727272727273,0.24242424242424243,0.3787878787878788,0.9242424242424242,0.7424242424242424,0.9090909090909091,0.8333333333333334,0.5151515151515151,0.7121212121212122,0.7272727272727273,0.8636363636363636,0.3181818181818182,0.45454545454545453,0.3939393939393939,0.48484848484848486,0.7727272727272727,0.2878787878787879,0.2727272727272727,0.3484848484848485,0.3333333333333333,0.22727272727272727,0.24242424242424243,0.5,0.8787878787878788,0.22727272727272727,0.30303030303030304,0.24242424242424243,0.696969696969697,0.6515151515151515,0.19696969696969696,0.3787878787878788,0.3939393939393939,0.36363636363636365,0.36363636363636365,0.5303030303030303,0.6666666666666666,0.45454545454545453,0.5909090909090909,0.3787878787878788,0.49696969696969695
RandomForestClassifier 4,0.5606060606060606,0.6212121212121212,0.7272727272727273,0.803030303030303,0.9242424242424242,0.8484848484848485,0.9090909090909091,0.8333333333333334,0.3333333333333333,0.7424242424242424,0.8181818181818182,1.0,0.3939393939393939,0.48484848484848486,0.25757575757575757,0.6060606060606061,0.7727272727272727,0.19696969696969696,0.12121212121212122,0.2878787878787879,0.4393939393939394,0.48484848484848486,0.6515151515151515,0.6212121212121212,0.8787878787878788,0.18181818181818182,0.5757575757575758,0.8181818181818182,0.7121212121212122,0.7272727272727273,0.18181818181818182,0.6515151515151515,0.5303030303030303,0.6666666666666666,0.25757575757575757,0.5606060606060606,0.6212121212121212,0.45454545454545453,0.48484848484848486,0.5909090909090909,0.5833333333333333
RandomForestClassifier 5,0.5757575757575758,0.7272727272727273,0.7575757575757576,0.7878787878787878,0.9242424242424242,0.8484848484848485,0.9090909090909091,0.8636363636363636,0.4696969696969697,0.7424242424242424,0.8181818181818182,1.0,0.8787878787878788,0.48484848484848486,0.6515151515151515,0.7121212121212122,0.7727272727272727,0.5757575757575758,0.18181818181818182,0.30303030303030304,0.42424242424242425,0.5909090909090909,0.6515151515151515,0.6212121212121212,0.8787878787878788,0.24242424242424243,0.45454545454545453,0.8181818181818182,0.7121212121212122,0.7272727272727273,0.19696969696969696,0.6515151515151515,0.45454545454545453,0.6212121212121212,0.25757575757575757,0.5454545454545454,0.6818181818181818,0.45454545454545453,0.3939393939393939,0.5909090909090909,0.6238636363636363
GradientBoostingClassifier 1,0.5303030303030303,0.6363636363636364,0.5909090909090909,0.3787878787878788,0.9242424242424242,0.7424242424242424,0.8939393939393939,0.8333333333333334,0.48484848484848486,0.6363636363636364,0.7727272727272727,0.9696969696969697,0.25757575757575757,0.42424242424242425,0.06060606060606061,0.19696969696969696,0.7727272727272727,0.09090909090909091,0.21212121212121213,0.3333333333333333,0.5151515151515151,0.45454545454545453,0.3787878787878788,0.5,0.3181818181818182,0.19696969696969696,0.5151515151515151,0.7575757575757576,0.6060606060606061,0.5,0.18181818181818182,0.24242424242424243,0.3484848484848485,0.5606060606060606,0.3484848484848485,0.4696969696969697,0.5909090909090909,0.4696969696969697,0.5,0.3939393939393939,0.48977272727272725
GradientBoostingClassifier 2,0.4696969696969697,0.5,0.6363636363636364,0.3484848484848485,0.9242424242424242,0.6666666666666666,0.7727272727272727,0.8333333333333334,0.25757575757575757,0.7121212121212122,0.7727272727272727,0.8333333333333334,0.30303030303030304,0.48484848484848486,0.10606060606060606,0.18181818181818182,0.7424242424242424,0.24242424242424243,0.21212121212121213,0.3787878787878788,0.5,0.5,0.36363636363636365,0.6212121212121212,0.4696969696969697,0.12121212121212122,0.36363636363636365,0.7424242424242424,0.6060606060606061,0.5303030303030303,0.19696969696969696,0.4393939393939394,0.36363636363636365,0.5757575757575758,0.3484848484848485,0.30303030303030304,0.5606060606060606,0.45454545454545453,0.5,0.25757575757575757,0.47992424242424236
