Classifier type,Accuracy
DecisionTreeClassifier 1,0.609375
DecisionTreeClassifier 2,0.59375
DecisionTreeClassifier 3,0.359375
RandomForestClassifier 4,0.671875
RandomForestClassifier 5,0.671875
GradientBoostingClassifier 1,0.65625
GradientBoostingClassifier 2,0.75
