Classifier type,"<(0, 500)>","<(250, 750)>","<(500, 1000)>","<(750, 1250)>","<(1000, 1500)>","<(1250, 1750)>","<(1500, 2000)>","<(1750, 2250)>","<(2000, 2500)>","<(2250, 2750)>","<(2500, 3000)>","<(2750, 3250)>","<(3000, 3500)>","<(3250, 3750)>","<(3500, 4000)>",mean
DecisionTreeClassifier 1,0.5696969696969697,0.3393939393939394,0.24848484848484848,0.7515151515151515,0.3878787878787879,0.6666666666666666,0.23030303030303031,0.3090909090909091,0.4303030303030303,0.5393939393939394,0.6181818181818182,0.43636363636363634,0.41818181818181815,0.509090909090909,0.4909090909090909,0.463030303030303
DecisionTreeClassifier 2,0.7212121212121212,0.5515151515151515,0.6121212121212121,0.8121212121212121,0.47878787878787876,0.21818181818181817,0.26666666666666666,0.3696969696969697,0.3939393939393939,0.4121212121212121,0.6060606060606061,0.6484848484848484,0.5212121212121212,0.5757575757575758,0.5272727272727272,0.5143434343434344
DecisionTreeClassifier 3,0.6242424242424243,0.4909090909090909,0.6121212121212121,0.8848484848484849,0.2787878787878788,0.21212121212121213,0.2909090909090909,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.4909090909090909,0.703030303030303,0.4121212121212121,0.38181818181818183,0.3878787878787879,0.44525252525252523
RandomForestClassifier 4,0.8,0.8606060606060606,0.6484848484848484,0.9030303030303031,0.7393939393939394,0.7757575757575758,0.3151515151515151,0.38181818181818183,0.5212121212121212,0.4666666666666667,0.6545454545454545,0.28484848484848485,0.6666666666666666,0.6909090909090909,0.503030303030303,0.6141414141414142
RandomForestClassifier 5,0.8121212121212121,0.8606060606060606,0.7454545454545455,0.8848484848484849,0.8242424242424242,0.7757575757575758,0.46060606060606063,0.4727272727272727,0.5515151515151515,0.503030303030303,0.806060606060606,0.5333333333333333,0.6666666666666666,0.7333333333333333,0.503030303030303,0.6755555555555556
GradientBoostingClassifier 1,0.7515151515151515,0.6545454545454545,0.296969696969697,0.6606060606060606,0.19393939393939394,0.7272727272727273,0.2909090909090909,0.32727272727272727,0.36363636363636365,0.38181818181818183,0.6242424242424243,0.37575757575757573,0.6606060606060606,0.40606060606060607,0.37575757575757573,0.4727272727272727
GradientBoostingClassifier 2,0.6,0.696969696969697,0.2727272727272727,0.38181818181818183,0.18787878787878787,0.6848484848484848,0.26666666666666666,0.30303030303030304,0.3575757575757576,0.37575757575757573,0.6242424242424243,0.2909090909090909,0.6363636363636364,0.4,0.3939393939393939,0.4315151515151515
