Classifier type,"<(0, 200)>","<(100, 300)>","<(200, 400)>","<(300, 500)>","<(400, 600)>","<(500, 700)>","<(600, 800)>","<(700, 900)>","<(800, 1000)>","<(900, 1100)>","<(1000, 1200)>","<(1100, 1300)>","<(1200, 1400)>","<(1300, 1500)>","<(1400, 1600)>","<(1500, 1700)>","<(1600, 1800)>","<(1700, 1900)>","<(1800, 2000)>","<(1900, 2100)>","<(2000, 2200)>","<(2100, 2300)>","<(2200, 2400)>","<(2300, 2500)>","<(2400, 2600)>","<(2500, 2700)>","<(2600, 2800)>","<(2700, 2900)>","<(2800, 3000)>","<(2900, 3100)>","<(3000, 3200)>","<(3100, 3300)>","<(3200, 3400)>","<(3300, 3500)>","<(3400, 3600)>","<(3500, 3700)>","<(3600, 3800)>","<(3700, 3900)>","<(3800, 4000)>","<(3900, 4100)>",mean
DecisionTreeClassifier 1,0.3333333333333333,0.12121212121212122,0.4393939393939394,0.36363636363636365,0.9090909090909091,0.803030303030303,0.8484848484848485,0.6666666666666666,0.42424242424242425,0.7121212121212122,0.6515151515151515,1.0,0.4696969696969697,0.15151515151515152,0.22727272727272727,0.6060606060606061,0.7727272727272727,0.7121212121212122,0.15151515151515152,0.3333333333333333,0.25757575757575757,0.6515151515151515,0.5606060606060606,0.30303030303030304,0.8787878787878788,0.5606060606060606,0.18181818181818182,0.5606060606060606,0.6212121212121212,0.7727272727272727,0.030303030303030304,0.6515151515151515,0.5,0.48484848484848486,0.48484848484848486,0.6060606060606061,0.48484848484848486,0.4696969696969697,0.5303030303030303,0.4090909090909091,0.5174242424242425
DecisionTreeClassifier 2,0.5303030303030303,0.16666666666666666,0.4090909090909091,0.36363636363636365,0.9242424242424242,0.8484848484848485,0.9090909090909091,0.6818181818181818,0.5454545454545454,0.6515151515151515,0.6212121212121212,1.0,0.5909090909090909,0.13636363636363635,0.0,0.42424242424242425,0.7727272727272727,0.6818181818181818,0.18181818181818182,0.5606060606060606,0.3181818181818182,0.5909090909090909,0.6060606060606061,0.3787878787878788,0.8787878787878788,0.5757575757575758,0.2878787878787879,0.5606060606060606,0.6818181818181818,0.7575757575757576,0.18181818181818182,0.6515151515151515,0.5606060606060606,0.5151515151515151,0.22727272727272727,0.4696969696969697,0.5151515151515151,0.45454545454545453,0.3787878787878788,0.5303030303030303,0.5280303030303031
DecisionTreeClassifier 3,0.30303030303030304,0.16666666666666666,0.4393939393939394,0.3787878787878788,0.9242424242424242,0.803030303030303,0.8939393939393939,0.6060606060606061,0.4696969696969697,0.6666666666666666,0.6666666666666666,1.0,0.5151515151515151,0.16666666666666666,0.24242424242424243,0.6212121212121212,0.7727272727272727,0.7121212121212122,0.18181818181818182,0.3181818181818182,0.2727272727272727,0.6212121212121212,0.5757575757575758,0.30303030303030304,0.8787878787878788,0.5606060606060606,0.19696969696969696,0.5,0.6212121212121212,0.7727272727272727,0.18181818181818182,0.6515151515151515,0.5454545454545454,0.5,0.48484848484848486,0.5606060606060606,0.5454545454545454,0.4696969696969697,0.36363636363636365,0.42424242424242425,0.5219696969696971
RandomForestClassifier 4,0.42424242424242425,0.15151515151515152,0.42424242424242425,0.36363636363636365,0.9242424242424242,0.8333333333333334,0.9090909090909091,0.7121212121212122,0.45454545454545453,0.7424242424242424,0.8181818181818182,1.0,0.7878787878787878,0.13636363636363635,0.0,0.696969696969697,0.7727272727272727,0.8333333333333334,0.12121212121212122,0.36363636363636365,0.3484848484848485,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.8787878787878788,0.5606060606060606,0.3181818181818182,0.5909090909090909,0.7121212121212122,0.7424242424242424,0.18181818181818182,0.6515151515151515,0.5454545454545454,0.6212121212121212,0.24242424242424243,0.6212121212121212,0.6060606060606061,0.45454545454545453,0.3333333333333333,0.6060606060606061,0.5537878787878788
RandomForestClassifier 5,0.5151515151515151,0.16666666666666666,0.7575757575757576,0.36363636363636365,0.9242424242424242,0.8333333333333334,0.9090909090909091,0.7121212121212122,0.5909090909090909,0.7424242424242424,0.8181818181818182,1.0,0.6818181818181818,0.13636363636363635,0.015151515151515152,0.696969696969697,0.7727272727272727,0.8333333333333334,0.12121212121212122,0.36363636363636365,0.45454545454545453,0.6666666666666666,0.6666666666666666,0.6212121212121212,0.8787878787878788,0.5606060606060606,0.42424242424242425,0.8181818181818182,0.7121212121212122,0.7575757575757576,0.18181818181818182,0.6515151515151515,0.5454545454545454,0.6212121212121212,0.48484848484848486,0.5757575757575758,0.6060606060606061,0.45454545454545453,0.2878787878787879,0.6060606060606061,0.5882575757575756
GradientBoostingClassifier 1,0.36363636363636365,0.16666666666666666,0.4090909090909091,0.3939393939393939,0.9242424242424242,0.8181818181818182,0.9090909090909091,0.6818181818181818,0.3939393939393939,0.7272727272727273,0.7424242424242424,1.0,0.5303030303030303,0.15151515151515152,0.030303030303030304,0.5757575757575758,0.7727272727272727,0.7272727272727273,0.13636363636363635,0.36363636363636365,0.2878787878787879,0.6363636363636364,0.6212121212121212,0.3333333333333333,0.8787878787878788,0.5606060606060606,0.21212121212121213,0.4393939393939394,0.7121212121212122,0.7575757575757576,0.19696969696969696,0.6515151515151515,0.5,0.5,0.21212121212121213,0.48484848484848486,0.5606060606060606,0.45454545454545453,0.3333333333333333,0.5606060606060606,0.5178030303030303
GradientBoostingClassifier 2,0.3787878787878788,0.12121212121212122,0.4090909090909091,0.3939393939393939,0.9090909090909091,0.803030303030303,0.9090909090909091,0.6818181818181818,0.4090909090909091,0.7121212121212122,0.7272727272727273,1.0,0.5303030303030303,0.15151515151515152,0.015151515151515152,0.5757575757575758,0.7727272727272727,0.7272727272727273,0.15151515151515152,0.36363636363636365,0.24242424242424243,0.6212121212121212,0.6212121212121212,0.3333333333333333,0.8787878787878788,0.5606060606060606,0.25757575757575757,0.42424242424242425,0.6212121212121212,0.7727272727272727,0.18181818181818182,0.6818181818181818,0.45454545454545453,0.4696969696969697,0.5303030303030303,0.48484848484848486,0.5757575757575758,0.45454545454545453,0.3333333333333333,0.5757575757575758,0.5204545454545454
