Classifier type,"<(0, 500)>","<(250, 750)>","<(500, 1000)>","<(750, 1250)>","<(1000, 1500)>","<(1250, 1750)>","<(1500, 2000)>","<(1750, 2250)>","<(2000, 2500)>","<(2250, 2750)>","<(2500, 3000)>","<(2750, 3250)>","<(3000, 3500)>","<(3250, 3750)>","<(3500, 4000)>",mean
DecisionTreeClassifier 1,0.3939393939393939,0.7454545454545455,0.5151515151515151,0.07878787878787878,0.47878787878787876,0.5818181818181818,0.43636363636363634,0.4,0.42424242424242425,0.3393939393939394,0.40606060606060607,0.5393939393939394,0.22424242424242424,0.36363636363636365,0.2909090909090909,0.4145454545454546
DecisionTreeClassifier 2,0.43636363636363634,0.7575757575757576,0.5212121212121212,0.09090909090909091,0.5212121212121212,0.5818181818181818,0.41818181818181815,0.45454545454545453,0.3878787878787879,0.3878787878787879,0.3696969696969697,0.4303030303030303,0.34545454545454546,0.30303030303030304,0.23636363636363636,0.41616161616161623
DecisionTreeClassifier 3,0.40606060606060607,0.7696969696969697,0.5333333333333333,0.07878787878787878,0.49696969696969695,0.5818181818181818,0.4909090909090909,0.4,0.37575757575757573,0.3696969696969697,0.3939393939393939,0.5393939393939394,0.37575757575757573,0.36363636363636365,0.2787878787878788,0.43030303030303024
RandomForestClassifier 4,0.5696969696969697,0.793939393939394,0.5575757575757576,0.07272727272727272,0.593939393939394,0.5818181818181818,0.30303030303030304,0.41818181818181815,0.44242424242424244,0.42424242424242425,0.40606060606060607,0.5515151515151515,0.509090909090909,0.1393939393939394,0.2787878787878788,0.44282828282828285
RandomForestClassifier 5,0.6363636363636364,0.793939393939394,0.5575757575757576,0.7757575757575758,0.593939393939394,0.2727272727272727,0.3090909090909091,0.41818181818181815,0.44242424242424244,0.4121212121212121,0.42424242424242425,0.38181818181818183,0.503030303030303,0.15151515151515152,0.2787878787878788,0.4634343434343434
GradientBoostingClassifier 1,0.42424242424242425,0.7636363636363637,0.5272727272727272,0.07272727272727272,0.5636363636363636,0.5818181818181818,0.46060606060606063,0.4303030303030303,0.4303030303030303,0.3575757575757576,0.4121212121212121,0.509090909090909,0.21212121212121213,0.36363636363636365,0.23636363636363636,0.423030303030303
GradientBoostingClassifier 2,0.42424242424242425,0.7515151515151515,0.509090909090909,0.06666666666666667,0.5575757575757576,0.5818181818181818,0.46060606060606063,0.42424242424242425,0.4121212121212121,0.37575757575757573,0.40606060606060607,0.509090909090909,0.2727272727272727,0.2909090909090909,0.21212121212121213,0.41696969696969693
