Classifier type,Accuracy
DecisionTreeClassifier 1,0.3515625
DecisionTreeClassifier 2,0.3046875
DecisionTreeClassifier 3,0.375
RandomForestClassifier 4,0.5546875
RandomForestClassifier 5,0.28125
GradientBoostingClassifier 1,0.3984375
GradientBoostingClassifier 2,0.3984375
GradientBoostingClassifier 1,0.4375
GradientBoostingClassifier 2,0.359375
GradientBoostingClassifier 3,0.28125
GradientBoostingClassifier 4,0.25
XGBClassifier,0.40625
XGBRFClassifier,0.40625
